latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
39.96407,-76.5964,296.17,0.37,0.58,2025-10-01,616,N,VIIRS,n,2.0NRT,284.54,0.18,N
39.96552,-76.59955,296.12,0.37,0.58,2025-10-01,616,N,VIIRS,n,2.0NRT,284.79,0.37,N
40.07208,-74.76904,295.22,0.59,0.53,2025-10-01,616,N,VIIRS,n,2.0NRT,284.55,0.54,N
40.15289,-74.77305,296.28,0.59,0.53,2025-10-01,616,N,VIIRS,n,2.0NRT,285.89,0.3,N
40.31084,-80.60799,304.83,0.6,0.71,2025-10-01,616,N,VIIRS,n,2.0NRT,287.05,2.18,N
40.31409,-80.60822,302.44,0.6,0.7,2025-10-01,616,N,VIIRS,n,2.0NRT,286.37,1.28,N
40.39329,-79.85702,314.92,0.55,0.68,2025-10-01,616,N,VIIRS,n,2.0NRT,287.3,2.76,N
40.39443,-79.85117,296.07,0.55,0.68,2025-10-01,616,N,VIIRS,n,2.0NRT,285.48,1.07,N
40.39458,-79.85817,314.92,0.55,0.68,2025-10-01,616,N,VIIRS,n,2.0NRT,286.97,1.07,N
40.63593,-74.22059,301.23,0.56,0.51,2025-10-01,616,N,VIIRS,n,2.0NRT,288.94,1.22,N
40.63642,-74.22733,299.23,0.56,0.51,2025-10-01,616,N,VIIRS,n,2.0NRT,288.37,0.95,N
40.71656,-75.39916,304.88,0.32,0.55,2025-10-01,616,N,VIIRS,n,2.0NRT,287.28,0.51,N
40.75235,-81.44707,297.58,0.67,0.73,2025-10-01,616,N,VIIRS,n,2.0NRT,285.21,1.15,N
40.75338,-81.43871,303.81,0.66,0.73,2025-10-01,616,N,VIIRS,n,2.0NRT,285.42,1.79,N
40.75348,-81.44694,298.54,0.66,0.73,2025-10-01,616,N,VIIRS,n,2.0NRT,285.5,1.5,N
40.7592,-81.43881,298.67,0.66,0.73,2025-10-01,616,N,VIIRS,n,2.0NRT,285.48,1.15,N
40.89111,-77.71229,327.01,0.43,0.62,2025-10-01,616,N,VIIRS,n,2.0NRT,285.9,2.97,N
41.13046,-80.69549,301.08,0.61,0.71,2025-10-01,616,N,VIIRS,n,2.0NRT,284.57,1.08,N
41.45244,-81.68391,311.16,0.69,0.74,2025-10-01,616,N,VIIRS,n,2.0NRT,286.28,2.24,N
41.45431,-81.68117,316.8,0.69,0.74,2025-10-01,616,N,VIIRS,n,2.0NRT,285.95,3.94,N
41.45943,-81.67496,301.42,0.69,0.74,2025-10-01,616,N,VIIRS,n,2.0NRT,284.84,1.57,N
41.45945,-81.68382,314.41,0.69,0.74,2025-10-01,616,N,VIIRS,n,2.0NRT,286.06,1.57,N
41.46125,-81.67217,298.58,0.69,0.74,2025-10-01,616,N,VIIRS,n,2.0NRT,284.3,2.89,N
41.46131,-81.68111,326.7,0.69,0.74,2025-10-01,616,N,VIIRS,n,2.0NRT,287.47,3.94,N
41.46643,-81.67497,301.1,0.69,0.74,2025-10-01,616,N,VIIRS,n,2.0NRT,285.02,1.57,N
41.46645,-81.68362,299.22,0.69,0.74,2025-10-01,616,N,VIIRS,n,2.0NRT,285.96,1.57,N
42.80116,-80.09957,296.15,0.58,0.7,2025-10-01,616,N,VIIRS,n,2.0NRT,283.4,2.22,N
42.80124,-80.10701,314.56,0.58,0.7,2025-10-01,616,N,VIIRS,n,2.0NRT,285,2.73,N
42.80296,-80.09664,301.17,0.58,0.7,2025-10-01,616,N,VIIRS,n,2.0NRT,282.94,1.56,N
42.80309,-80.10411,320.88,0.58,0.7,2025-10-01,616,N,VIIRS,n,2.0NRT,284.86,1.56,N
42.80771,-80.09927,325.44,0.58,0.7,2025-10-01,616,N,VIIRS,n,2.0NRT,285.74,2.22,N
42.8078,-80.1067,300.82,0.58,0.7,2025-10-01,616,N,VIIRS,n,2.0NRT,283.5,2.73,N
42.80951,-80.0964,297.21,0.58,0.7,2025-10-01,616,N,VIIRS,n,2.0NRT,283.22,1.56,N
